"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","49947","PRUEBA PRE-REGISTRO","chromium","Fri Dec 13 17:13:35 GMT-04:00 2024","passed","Fri Dec 13 17:14:25 GMT-04:00 2024","","ciudv3.spec.ts","",""
"","25843","PRUEBA DE INICIO DE SESION","firefox","Fri Dec 13 17:15:09 GMT-04:00 2024","passed","Fri Dec 13 17:15:35 GMT-04:00 2024","","ciudv3.spec.ts","",""
"","21230","PRUEBA DE INICIO DE SESION","Mobile Chrome","Fri Dec 13 17:18:33 GMT-04:00 2024","passed","Fri Dec 13 17:18:54 GMT-04:00 2024","","ciudv3.spec.ts","",""
"","44620","test registro admin","firefox","Fri Dec 13 17:17:43 GMT-04:00 2024","passed","Fri Dec 13 17:18:28 GMT-04:00 2024","","ciudv3.spec.ts","",""
"","32282","PRUEBA REGISTRO","Mobile Chrome","Fri Dec 13 17:19:16 GMT-04:00 2024","failed","Fri Dec 13 17:19:49 GMT-04:00 2024","","ciudv3.spec.ts","",""
"","30613","PRUEBA DE INICIO DE SESION","chromium","Fri Dec 13 17:10:11 GMT-04:00 2024","failed","Fri Dec 13 17:10:42 GMT-04:00 2024","","login.spec.ts","",""
"","0","tet preregistro ciudadania","chromium","Fri Dec 13 17:10:46 GMT-04:00 2024","skipped","Fri Dec 13 17:10:46 GMT-04:00 2024","","pre-registro.spec.ts","",""
"","25466","PRUEBA DE REGISTRO PORTAL","firefox","Fri Dec 13 17:15:37 GMT-04:00 2024","passed","Fri Dec 13 17:16:02 GMT-04:00 2024","","ciudv3.spec.ts","",""
"","21142","PRUEBA DE INICIO DE SESION","chromium","Fri Dec 13 17:12:24 GMT-04:00 2024","passed","Fri Dec 13 17:12:45 GMT-04:00 2024","","ciudv3.spec.ts","",""
"","36724","test registro admin","Mobile Chrome","Fri Dec 13 17:20:25 GMT-04:00 2024","failed","Fri Dec 13 17:21:02 GMT-04:00 2024","","ciudv3.spec.ts","",""
"","0","tet preregistro ciudadania","Mobile Chrome","Fri Dec 13 17:10:46 GMT-04:00 2024","skipped","Fri Dec 13 17:10:46 GMT-04:00 2024","","pre-registro.spec.ts","",""
"","29889","PRUEBA REGISTRO","firefox","Fri Dec 13 17:16:04 GMT-04:00 2024","passed","Fri Dec 13 17:16:34 GMT-04:00 2024","","ciudv3.spec.ts","",""
"","1","tet preregistro ciudadania","firefox","Fri Dec 13 17:10:46 GMT-04:00 2024","skipped","Fri Dec 13 17:10:46 GMT-04:00 2024","","pre-registro.spec.ts","",""
"","38647","test registro admin","chromium","Fri Dec 13 17:14:27 GMT-04:00 2024","passed","Fri Dec 13 17:15:05 GMT-04:00 2024","","ciudv3.spec.ts","",""
"","33293","PRUEBA PRE-REGISTRO","Mobile Chrome","Fri Dec 13 17:19:50 GMT-04:00 2024","failed","Fri Dec 13 17:20:23 GMT-04:00 2024","","ciudv3.spec.ts","",""
"","21852","PRUEBA DE REGISTRO PORTAL","chromium","Fri Dec 13 17:12:46 GMT-04:00 2024","passed","Fri Dec 13 17:13:08 GMT-04:00 2024","","ciudv3.spec.ts","",""
"","63732","PRUEBA PRE-REGISTRO","firefox","Fri Dec 13 17:16:35 GMT-04:00 2024","passed","Fri Dec 13 17:17:39 GMT-04:00 2024","","ciudv3.spec.ts","",""
"","0","tet preregistro ciudadania","webkit","Fri Dec 13 17:10:46 GMT-04:00 2024","skipped","Fri Dec 13 17:10:46 GMT-04:00 2024","","pre-registro.spec.ts","",""
"","21406","PRUEBA DE REGISTRO PORTAL","Mobile Chrome","Fri Dec 13 17:18:55 GMT-04:00 2024","passed","Fri Dec 13 17:19:16 GMT-04:00 2024","","ciudv3.spec.ts","",""
"","26852","PRUEBA REGISTRO","chromium","Fri Dec 13 17:13:08 GMT-04:00 2024","passed","Fri Dec 13 17:13:35 GMT-04:00 2024","","ciudv3.spec.ts","",""
